GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
2143132553,SushiGo,3,GAME_OVER,97,0,4,79,1,BasicMCTS,1,3,3,2,2,4,osla,4,Random,rhea,BasicMCTS,40.0,36.0,39.0,27.0,osla,Random,rhea,osla,BasicMCTS,rhea,Random,1
-969773918,SushiGo,3,GAME_OVER,99,0,4,80,3,osla,3,2,2,4,4,1,Random,1,rhea,BasicMCTS,osla,27.0,31.0,23.0,35.0,Random,rhea,BasicMCTS,Random,osla,BasicMCTS,rhea,2
811178860,SushiGo,3,GAME_OVER,97,0,4,81,2,BasicMCTS,2,3,3,1,1,4,Random,4,osla,rhea,BasicMCTS,26.0,24.0,48.0,19.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,3
1596007353,SushiGo,3,GAME_OVER,98,0,4,82,3,osla,3,4,4,2,2,1,rhea,1,BasicMCTS,Random,osla,24.0,22.0,31.0,47.0,rhea,BasicMCTS,Random,rhea,osla,Random,BasicMCTS,2
1159086972,SushiGo,3,GAME_OVER,97,0,4,83,1,BasicMCTS,1,2,2,4,4,3,rhea,3,osla,Random,BasicMCTS,50.0,32.0,16.0,18.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,1
1669812908,SushiGo,3,GAME_OVER,98,0,4,84,3,Random,3,2,2,1,1,4,BasicMCTS,4,osla,rhea,Random,31.0,31.0,47.0,29.0,BasicMCTS,osla,rhea,BasicMCTS,Random,rhea,osla,3
-2146388626,SushiGo,3,GAME_OVER,97,0,4,85,3,Random,3,4,4,2,2,1,BasicMCTS,1,rhea,osla,Random,29.0,22.0,30.0,40.0,BasicMCTS,rhea,osla,BasicMCTS,Random,osla,rhea,2
1527008370,SushiGo,3,GAME_OVER,100,0,4,86,3,rhea,3,1,1,4,4,2,osla,2,BasicMCTS,Random,rhea,31.0,45.0,16.0,32.0,osla,BasicMCTS,Random,osla,rhea,Random,BasicMCTS,0
-64157796,SushiGo,3,GAME_OVER,98,0,4,87,2,osla,2,3,3,1,1,4,BasicMCTS,4,Random,rhea,osla,31.0,28.0,35.0,17.0,BasicMCTS,Random,rhea,BasicMCTS,osla,rhea,Random,3
-815366425,SushiGo,3,GAME_OVER,97,0,4,88,2,BasicMCTS,2,4,4,1,1,3,Random,3,osla,rhea,BasicMCTS,33.0,25.0,44.0,27.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,3
261797254,SushiGo,3,GAME_OVER,100,0,4,89,4,osla,4,3,3,2,2,1,Random,1,BasicMCTS,rhea,osla,34.0,35.0,40.0,62.0,Random,BasicMCTS,rhea,Random,osla,rhea,BasicMCTS,2
1396075339,SushiGo,3,GAME_OVER,99,0,4,90,4,Random,4,2,2,3,3,1,osla,1,rhea,BasicMCTS,Random,21.0,36.0,35.0,51.0,osla,rhea,BasicMCTS,osla,Random,BasicMCTS,rhea,2
-2092523444,SushiGo,3,GAME_OVER,98,0,4,91,1,BasicMCTS,1,2,2,4,4,3,rhea,3,osla,Random,BasicMCTS,52.0,36.0,24.0,32.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,1
343420611,SushiGo,3,GAME_OVER,100,0,4,92,1,BasicMCTS,1,2,2,3,3,4,rhea,4,Random,osla,BasicMCTS,49.0,41.0,36.0,27.0,rhea,Random,osla,rhea,BasicMCTS,osla,Random,1
425500470,SushiGo,3,GAME_OVER,98,0,4,93,4,Random,4,3,3,2,2,1,osla,1,BasicMCTS,rhea,Random,20.0,25.0,44.0,48.0,osla,BasicMCTS,rhea,osla,Random,rhea,BasicMCTS,2
904239831,SushiGo,3,GAME_OVER,97,0,4,94,3,Random,3,4,4,1,1,2,osla,2,BasicMCTS,rhea,Random,29.0,18.0,40.0,32.0,osla,BasicMCTS,rhea,osla,Random,rhea,BasicMCTS,3
-1086676947,SushiGo,3,GAME_OVER,100,0,4,95,4,Random,4,3,3,1,1,2,BasicMCTS,2,osla,rhea,Random,22.0,26.0,45.0,37.0,BasicMCTS,osla,rhea,BasicMCTS,Random,rhea,osla,3
1864556018,SushiGo,3,GAME_OVER,99,0,4,96,1,Random,1,2,2,3,3,4,rhea,4,BasicMCTS,osla,Random,32.0,29.0,24.0,21.0,rhea,BasicMCTS,osla,rhea,Random,osla,BasicMCTS,1
829904959,SushiGo,3,GAME_OVER,98,0,4,97,1,rhea,1,2,2,3,3,4,BasicMCTS,4,osla,Random,rhea,31.0,31.0,23.0,22.0,BasicMCTS,osla,Random,BasicMCTS,rhea,Random,osla,1
1118813158,SushiGo,3,GAME_OVER,97,0,4,98,1,BasicMCTS,1,2,2,3,3,4,rhea,4,Random,osla,BasicMCTS,53.0,41.0,32.0,26.0,rhea,Random,osla,rhea,BasicMCTS,osla,Random,1
1256096798,SushiGo,3,GAME_OVER,99,0,4,99,1,Random,1,4,4,2,2,3,BasicMCTS,3,osla,rhea,Random,41.0,24.0,37.0,28.0,BasicMCTS,osla,rhea,BasicMCTS,Random,rhea,osla,1
1855411813,SushiGo,3,GAME_OVER,100,0,4,100,4,BasicMCTS,4,3,3,1,1,2,osla,2,Random,rhea,BasicMCTS,27.0,29.0,36.0,30.0,osla,Random,rhea,osla,BasicMCTS,rhea,Random,3
-1316702046,SushiGo,3,GAME_OVER,98,0,4,101,2,BasicMCTS,2,1,1,3,3,4,Random,4,osla,rhea,BasicMCTS,33.0,37.0,28.0,22.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,0
